title,year_published
"Williams, G.J., T.M. Work, G.S. Aeby, I.S. Knapp and S.K. Davy 2011. Gross and microscopic morphology of lesions in Cnidaria from Palmyra Atoll, Central Pacific. Journal of Invertebrate Pathology 106:165-173 {PARC-61}",2011
"Knapp, I.S., L.S. Godwin, J.E. Smith and J.J. Bell 2011. Records of non-indigenous marine species at Palmyra Atoll in the U.S. Line Islands. Marine Biodiversity Records 4:1-7 {PARC-0062}",2011
"Aeby, G.S., G.J. Williams, E.C. Franklin, J. Haapkyla, C.D. Harvell, S. Neale, C.A. Page, L. Raymundo, B.  Vargas-Angel, B. Willis, T.M. Work and S.K. Davy 2011. Growth anomalies on the coral genera Acropora and Porites are strongly associated with host density and human population size across the Indo-Pacific. PLoS One 6(2):1-9 {PARC-0063}",2011
"Druffel-Rodriguez, K.C., D. Vetter, S.M. Griffin, E.R.M. Druffel, R.B. Dunbar, D.A. Mucciarone, L.A. Ziolkowski and J.A. Sanchez Cabeza. (In Press) [PUBLISHED] 2012. Radiocarbon and stable isotopes in Palmyra corals during the past century. Geochimica et Cosmochimica Acta. 82:154-162. {PARC-0064}",2012
"Grottoli, A., S.T. Gille, E.R.M. Druffel, and R.B. Dunbar 2003. Decadal timescale shift in the 14C record of a central equatorial Pacific coral. Radiocarbon 45: 11-20 {PARC-0065}",2003
"Roark, E.B., T.P. Guilderson, R.B. Dunbar, S.J. Fallon, G. Shester  and D.A. Mucciarone 2009. Extreme longevity in proteinaceous deep-sea corals. Proceedings of the National Academy of Sciences of the USA 106: 5204-5208. {PARC-0066}",2009
"Sayani, H.R., K.M. Cobb, A.L. Cohen, W.C. Elliott, I.S. Nurhati, R.B. Dunbar, K.A. Rose and L.K. Zaunbrecher. (In Press) [PUBLISHED] 2011. Effects of diagenesis on paleoclimate: Reconstructions from modern and young fossil corals. Geochemistry, Geophysics, Geosystems [JOURNAL: Geochimica et Cosmochimica Acta] 75(21):6361-6373. {PARC-0067}",2011
"Young, H.S., D.J. McCauley and R. Dirzo 2011. Differential responses to guano fertilization among tropical tree species with varying functional traits. Amercan Journal of Botany 98(2):1-8 {PARC-0068}",2011
"Braun, C.L., J.E. Smith and P.S. Vroom 2008. Examination of algal diversity and benthic community structure at Palmyra Atoll, U.S. Line Islands. Proceedings of the 11th International Coral Reef Symposium, Fort Lauderdale, FL, 7-11, 2008. {PARC-0069}",2008
"Handler, A.T., D.S. Gruner, W.P. Haines, M.W. Lange and K.Y. Kaneshiro 2007. Arthropod surveys on Palmyra Atoll, Line Islands, and insights into the decline of the natirve tree Pisonia grandis (Nyctaginaceae). Pacific Science 61(4):485-502 {PARC-0070}",2007
"Zaunbrecher, L.K., K.M. Cobb, W. Beck, C.D. Charles, E.R.M. Druffel, R.G. Fairbanks, S. Griffin and H.R. Sayani 2010. Coral records of central tropical Pacific radiocarbon variability during the last millennium. Paleoceanography 25: (PA4212, doi:10.1029/2009PA001788) (15 pgs) {PARC-0071}",2010
"Williams, G.J., I.S. Knapp, T.M. Work, E.J. Conklin (In Press) [PUBLISHED] 2011. Outbreak of Acropora white syndrome following a mild bleaching event at Palmyra Atoll, Northern Line Islands, Central Pacific. Coral Reefs 30:621 {PARC-0072}",2011
"Williams, G.J., I.S. Knapp, J.E. Maragos, S.K. Davy (Accepted) Proximate environmental drivers of coral communities at Palmyra Atoll: establishing baselines prior to removing a WWII military causeway. Marine Pollution Bulletin 62:1842-1851 {PARC-0073}",2011
"Madin, E.M.P., S.D. Gaines, J.S. Madin and R.R. Warner. 2010. Fishing indirectly structures macroalgal assemblages by altering herbivore behavior. American Naturalist 176(6): 785-801. {PARC-0074}",2010
"Madin, E.M.P. and J.S. Madin. 2011. Predators, facilitators, or both?  Re-evaluating an apparent predator-prey interaction. Marine Ecology Progress Series 431: 299-302. {PARC-0075}",2011
"McCauley, D.J., K.A. McLean, J. Bauer, H.S. Young, and F. Micheli 2012. Evaluating the performance of methods for estimating the abundance of rapidly declining coastal shark populations. Ecological Applications  22(2):385-392 {PARC-0076}",2012
"Price, N.N., S.L. Hamilton, J.S. Tootell and J.E. Smith 2011. Species-specific consequences of ocean acidification for the calcareous tropical green algae Halimeda. Marine Ecology Progress Series  440:67-78. {PARC-0077}",2011
"Gardner, J.P.A., C. Boesche, J.M. Meyer, A.R. Wood 2012. Analyses of DNA obtained from shells and brine-preserved meat: giant clams (Tridacna maxima) from the central Pacific Ocean.  Marine Ecology Progress Series 453:297-301{PARC-0078}",2012
"Hoffman, G.E., J.E. Smith, K.S. Johnson, U. Send, L.A. Levin, F.Micheli, A. Paytan, N. N. Price, B. Peterson, Y. Takeshita, P.G. Matson, E.D. Crook, K.J. Kroeker, M.C. Gambi, E.B. Rivest, C.A. Feieder, P.C. Yu and T.R. Martz. 2011. High-frequency dynamics of ocean pH: a multi-ecosystem comparison. PLoS One 6(12): e28983. doi:10.1371/journal.pone.0028983 {PARC-0079}",2011
"Williams, G.J., G.S. Aeby, R.O.M. Cowie and S.K. Davy. (2010). Predictive modeling of coral disease distribution within a reef system. PLoS ONE 5(2): e9264. doi:10.1371/journal.pone.0009264 {PARC-0080}",2010
"McCauley, D.J., H.S. Young, R.B. Dunbar, J.A. Estes, B.X. Semmens, and F. Micheli. (2012). Assessing the effects of large mobile predators on ecosystem connectivity. Ecological Applications 22(6):1711-1717{PARC-0081}",2012
"McCauley, D.J., E. Hoffman, H.S. Young and F. Micheli (2012). Night shift: expansion of temporal niche use following reductions in predator density. PLoS ONE 7(6): e38871. doi:10.1371/journal.pone.0038871  {PARC-0082}",2012
"Papastamatiou, Y.P., P.A. DeSalles, and D.J. McCauley. (2012). Area restricted searching in manta rays, and their response to spatial scale in lagoon habitats. Marine Ecology Progress Series 456:233-244{PARC-0083}",2012
"Price, N.N., T. Martz, R.E. Brainard and J.E. Smith. (2012). Diel variability in seawater pH relates to calcification and benthic community structure on coral reefs. PLoS One 7(8):e43843 {PARC-0084}",2012
"Suchanek, T. 2012.  The Palmyra Atoll Research Consortium. U.S. Geological Survey Fact Sheet  2012-3002, 4 p. {PARC-0085}",2012
"Briggs, A.A., H.S. Young, D.J. McCauley, S.A. Hathaway, R.Dirzo and R.N. Fisher 2012. Effects of spatial subsidies and habitat structure on the foraging ecology and size of geckos. PLoS ONE 7(8): e41364. doi:10.1371/journal.pone.0041364 {PARC-0086}",2012
"Knapp, I. S.S., G.J. Williams, J.L. Carballo, J.A. Cruz-Barraza, J.P.A Gardner and J.J. Bell (2013). Environmental drivers of sponge diversity, cover and assemblage composition in the lagoons at Palmyra Atoll, Central Pacific. [NEW TITLE: Restriction of sponges to an atoll lagoon as a result of reduced environmental quality] Marine Pollution Bulletin 66(1-2): 209-220. {PARC-0087}",2013
"Sterling, E.J, K. McFadden, K. Holmes, E. Vintinner, F. Arengo, and E. Naro-Maciel. (2013). Ecology and Conservation of Marine Turtles in a Foraging Ground in the Central Pacific. Chelonian Conservation Biology  12(1):2-6. {PARC-0088}",2013
"Kelly, Brooke. 2012. Using stable isotope analyses to assess the foraging habits of Palmyra Atoll green turtles (Chelonia mydas). Masters Thesis, Department of Ecology, Evolution and Environmental Biology, Columbia University, 99 pgs.{PARC-0089}",2012
"Detjen, M. 2012. Stable isotopes in turtle epibionts as a tool to understand green turtle (Chelonia mydas) regional movement patterns. Masters Dissertation, Department of Ecology, Evolution and Environmental Biology, Columbia University. 58 pp. {PARC-0090}",2012
"Young, H.S., D.J. McCauley, R.B. Dunbar, M.S. Hutson, A. Miller-ter Kuile and R. Dirzo (2012). The roles of productivity and ecosystem size in determining food-chain length in tropical terrestrial ecosystems. Ecology 94(3):692-701 {PARC-0091}",2012
"Young, H.S., D.J. McCauley, R. Guevara and R. Dirzo (2013). Consumer preference for seeds and seedlings of rare species impacts tree diversity at multiple scales. Oecologia 172:857-867 {PARC-0092}",2013
"Vidal-Martinez, V.M., M.L. Aguirre-Macedo, J.P. McLaughlin, R.F. Hechinger, A.G. Jaramillo, J.C. Shaw, A.K. James, A.M. Kuris and K.D. Lafferty 2012. Digenean metacercariae of fishes from the lagoon flats of Palmyra Atoll, Eastern Indo-Pacific. Journal of Helminthology 86:493-0509 {PARC-0093}",2012
"Carballo, J.L., J.A. Aguilar-Camacho, I.S.S. Knapp and J.J. Bell 2013. Wide distributional range of marine sponges along the Pacific Ocean. Marine Biology Research 9(8): 768-775 {PARC-0094}",2013
