iucn_sid,sciname,class,common,category
194377,Lutjanus fulvus,actinopterygii,Blacktail Snapper,LC
194385,Lutjanus gibbus,actinopterygii,Humpback Red Snapper,LC
194376,Lutjanus monostigma,actinopterygii,One-spot Snapper,LC
"NA",Manta birostris,actinopterygii,NA,NE
"NA",Malacanthus latovittatus,actinopterygii,Blue blanquillo,NE
187692,Macropharyngodon meleagris,actinopterygii,Blackspotted wrasse,LC
193609,Melichthys niger,actinopterygii,Black Triggerfish,LC
"NA",Melichthys vidua,actinopterygii,Pinktail triggerfish,NE
16720607,Monotaxis grandoculis,actinopterygii,Humpnose Big-eye Bream,LC
50903119,Mulloidichthys flavolineatus,actinopterygii,Yellowstripe Goatfish,LC
69181822,Mulloidichthys mimicus,actinopterygii,Mimic goatfish,LC
69181884,Mulloidichthys vanicolensis,actinopterygii,Yellowfin goatfish,LC
67869125,Myripristis adusta,actinopterygii,Shadowfin Soldierfish,LC
67869551,Myripristis amaena,actinopterygii,Brick Soldierfish,LC
67869566,Myripristis berndti,actinopterygii,Blotcheye Soldierfish,LC
67869976,Myripristis earlei,actinopterygii,Earle's Soldierfish ,LC
67871020,Myripristis kuntee,actinopterygii,Shoulderbar Soldierfish,LC
67871036,Myripristis murdjan,actinopterygii,Pinecone Soldierfish,LC
67871136,Myripristis woodsi,actinopterygii,Whitespot Soldierfish ,LC
177988,Naso annulatus,actinopterygii,Whitemargin Unicornfish,LC
177990,Naso brevirostris,actinopterygii,Palefin Unicornfish,LC
178013,Naso caesius,actinopterygii,Gray Unicornfish,LC
178002,Naso hexacanthus,actinopterygii,Sleek Unicornfish,LC
177950,Naso lituratus,actinopterygii,Orange Spine Surgeonfish,LC
177970,Naso unicornis,actinopterygii,Bluespine Unicornfish,LC
155120,Naso vlamingii,actinopterygii,Bignose Unicornfish,LC
155229,Nemateleotris magnifica,actinopterygii,Fire Dartfish,LC
67871260,Neoniphon opercularis,actinopterygii,Blackfin Squirrelfish,LC
67871355,Neoniphon sammara,actinopterygii,Sammara Squirrelfish,LC
187441,Novaculichthys taeniourus,actinopterygii,Olive-scribbled wrasse,LC
"NA",Odonus niger,actinopterygii,Red-toothed triggerfish,NE
"NA",Ostracion meleagris,actinopterygii,Whitespotted boxfish,NE
187466,Oxycheilinus digramma,actinopterygii,Cheek-lined Maori wrasse,LC
187674,Oxycheilinus unifasciatus,actinopterygii,Whiteband maori wrasse,LC
67997869,Paracirrhites arcatus,actinopterygii,Arc-eye Hawkfish,LC
69181941,Parupeneus barberinus,actinopterygii,Dash-and-dot goatfish,LC
69182011,Parupeneus cyclostomus,actinopterygii,Gold-saddle goatfish,LC
193150,Paragobiodon echinocephalus,actinopterygii,Redhead Goby,LC
67997879,Paracirrhites forsteri,actinopterygii,Blackside Hawkfish,LC
67997886,Paracirrhites hemistictus,actinopterygii,Whitespot Hawkfish,LC
69182291,Parupeneus insularis,actinopterygii,Twosaddle goatfish,LC
154670,Parupeneus multifasciatus,actinopterygii,Banded Goatfish,LC
70011147,Pervagor janthinosoma,actinopterygii,Blackbar Filefish,LC
70011154,Pervagor marginalis,actinopterygii,NA,DD
"NA",Pempheris oualensis,actinopterygii,Blackspot sweeper,NE
"NA",Plectroglyphidodon dickii,actinopterygii,Blackbar devil,NE
"NA",Plectroglyphidodon imparipennis,actinopterygii,Brighteye damselfish,NE
"NA",Plectroglyphidodon johnstonianus,actinopterygii,Johnston Island damsel,NE
64412,Plectropomus laevis,actinopterygii,Blacksaddled Coral Grouper,LC
"NA",Plectroglyphidodon phoenixensis,actinopterygii,Phoenix devil,NE
48342477,Plagiotremus rhinorhynchos,actinopterygii,Bluestriped Fangblenny,LC
48342366,Plagiotremus tapeinosoma,actinopterygii,Piano Fangblenny,LC
"NA",Pomacentrus brachialis,actinopterygii,Charcoal damsel,NE
"NA",Pomacentrus coelestis,actinopterygii,Neon damselfish,NE
165862,Pomacanthus imperator,actinopterygii,Emperor Angelfish,LC
187642,Pseudocoris aurantiofasciata,actinopterygii,Rust-banded wrasse,LC
69589636,Pseudanthias bartlettorum,actinopterygii,Bartlett's Anthias,LC
187626,Pseudojuloides cerasinus,actinopterygii,Long blue-lined wrasse,DD
69590742,Pseudanthias dispar,actinopterygii,Peach Fairy Basslet,LC
187658,Pseudocheilinus evanidus,actinopterygii,Disappearing wrasse,LC
"NA",Pseudobalistes flavimarginatus,actinopterygii,Yellowmargin triggerfish,NE
187477,Pseudocheilinus hexataenia,actinopterygii,Six-line wrasse,LC
187688,Pseudocoris heteroptera,actinopterygii,Torpedo wrasse,LC
187713,Pseudodax moluccanus,actinopterygii,Chisel-tooth wrasse,LC
187621,Pseudocheilinus octotaenia,actinopterygii,Eightstripe wrasse,LC
69591446,Pseudanthias olivaceus,actinopterygii,NA,LC
187547,Pseudocoris yamashiroi,actinopterygii,Yamashiro's wrasse,LC
69799447,Pterois antennata,actinopterygii,Broadbared Lionfish,LC
69179838,Ptereleotris evides,actinopterygii,Blackfin Dartfish,LC
69181442,Ptereleotris heteroptera,actinopterygii,Blacktail Goby,LC
20252738,Pterocaesio marri,actinopterygii,Marr's Fusilier,LC
"NA",Ptereleotris microlepis,actinopterygii,Blue gudgeon,NE
20253151,Pterocaesio tile,actinopterygii,Dark-banded Fusilier,LC
69181519,Ptereleotris zebra,actinopterygii,Chinese Zebra Goby,LC
165885,Pygoplites diacanthus,actinopterygii,Royal Angelfish,LC
"NA",Rhinecanthus aculeatus,actinopterygii,White-banded triggerfish,NE
"NA",Rhinecanthus rectangulus,actinopterygii,Wedge-tail triggerfish,NE
67900607,Sargocentron caudimaculatum,actinopterygii,Silverspot Squirrelfish,LC
67901205,Sargocentron diadema,actinopterygii,Crown Squirrelfish,LC
67852269,Saurida gracilis,actinopterygii,Gracile Lizardfish,LC
67902908,Sargocentron microstoma,actinopterygii,Smallmouth Squirrelfish,LC
67902985,Sargocentron punctatissimum,actinopterygii,Speckled Squirrelfish,LC
67903042,Sargocentron spiniferum,actinopterygii,Sabre Squirrelfish,LC
67903124,Sargocentron tiere,actinopterygii,Blue Lined Squirrelfish ,LC
190726,Scarus altipinnis,actinopterygii,Filament-finned Parrotfish,LC
190747,Scarus forsteni,actinopterygii,Forsten's Parrotfish,LC
190755,Scarus frenatus,actinopterygii,Bridled Parrotfish,LC
190705,Scarus ghobban,actinopterygii,Blue-barred Parrotfish,LC
190694,Scarus globiceps,actinopterygii,Globehead Parrotfish,LC
20434766,Scomberoides lysan,actinopterygii,Doublespotted Queenfish,LC
190740,Scarus niger,actinopterygii,Dusky Parrotfish,LC
154960,Scarus oviceps,actinopterygii,Blue Parrotfish,LC
69918402,Scorpaenodes parvipinnis,actinopterygii,Lowfin Scorpionfish,LC
190736,Scarus psittacus,actinopterygii,Common Parrotfish,LC
190731,Scarus rubroviolaceus,actinopterygii,Ember Parrotfish,LC
190713,Scarus spinus,actinopterygii,Greensnout Parrotfish,LC
190704,Scarus tricolor,actinopterygii,Tricolour Parrotfish,LC
190388,Selar crumenophthalmus,actinopterygii,Bigeye Scad,LC
69919569,Sebastapistes cyanostigma,actinopterygii,Yellowspotted Scorpionfish,LC
198643,Seriola dumerili,actinopterygii,Greater Amberjack,LC
190399,Sphyraena barracuda,actinopterygii,Great Barracuda,LC
"NA",Sphyraena helleri,actinopterygii,Heller's barracuda,NE
39385,Sphyrna lewini,chondrichthyes,Scalloped Hammerhead,CR
39386,Sphyrna mokarran,chondrichthyes,Great Hammerhead,CR
"NA",Sphyraena qenie,actinopterygii,Blackfin barracuda,NE
