iucn_sid,sciname,class,common,category
177993,Acanthurus lineatus,actinopterygii,Lined Surgeonfish,LC
155120,Naso vlamingii,actinopterygii,Bignose Unicornfish,LC
177995,Acanthurus guttatus,actinopterygii,Whitespotted Surgeonfish,LC
177964,Ctenochaetus marginatus,actinopterygii,Blue-spotted Bristletooth,LC
178008,Acanthurus thompsoni,actinopterygii,Thompson's Surgeonfish,LC
177969,Acanthurus nigricans,actinopterygii,Golden Rim Surgeonfish,LC
177957,Acanthurus maculiceps,actinopterygii,Spotted-face Surgeonfish,LC
178022,Acanthurus pyroferus,actinopterygii,Mimic Surgeonfish,LC
177991,Acanthurus olivaceus,actinopterygii,Orange band Surgeonfish,LC
178010,Zebrasoma veliferum,actinopterygii,Sailfin Tang,LC
177972,Paracanthurus hepatus,actinopterygii,Palette Surgeonfish,LC
177958,Ctenochaetus cyanocheilus,actinopterygii,Short-tail bristle-tooth,LC
178005,Zebrasoma scopas,actinopterygii,Brushtail Tang,LC
177960,Acanthurus achilles,actinopterygii,Achilles Tang,LC
177971,Acanthurus blochii,actinopterygii,Ringtail Surgeonfish,LC
178018,Ctenochaetus flavicauda,actinopterygii,Whitetail Bristletooth,LC
177981,Acanthurus dussumieri,actinopterygii,Eyestripe Surgeonfish,LC
178019,Acanthurus nigrofuscus,actinopterygii,Brown Surgeonfish,LC
178002,Naso hexacanthus,actinopterygii,Sleek Unicornfish,LC
177967,Acanthurus mata,actinopterygii,Elongate Surgeonfish,LC
178012,Ctenochaetus striatus,actinopterygii,Striped Bristletooth,LC
16781113,Fistularia petimba,actinopterygii,Red Cornetfish,LC
18257780,Fistularia commersonii,actinopterygii,Bluespotted Cornetfish,LC
183214,Doryrhamphus excisus,actinopterygii,Bluestripe Pipefish,LC
65364553,Choeroichthys sculptus,actinopterygii,Sculptured Pipefish,LC
65134886,Aulostomus chinensis,actinopterygii,Chinese Trumpetfish,LC
170310,Katsuwonus pelamis,actinopterygii,Skipjack Tuna,LC
21857,Thunnus albacares,actinopterygii,Yellowfin Tuna,NT
170314,Makaira nigricans,actinopterygii,Blue Marlin,VU
170315,Tetrapturus angustirostris,actinopterygii,Shortbill Spearfish,DD
21856,Thunnus alalunga,actinopterygii,Albacore Tuna,NT
23148,Xiphias gladius,actinopterygii,Swordfish,LC
170309,Kajikia audax,actinopterygii,Striped Marlin,NT
21859,Thunnus obesus,actinopterygii,Bigeye Tuna,VU
170338,Istiophorus platypterus,actinopterygii,Sailfish,LC
170331,Acanthocybium solandri,actinopterygii,Wahoo,LC
170312,Istiompax indica,actinopterygii,Black Marlin,DD
187792,Coris centralis,actinopterygii,NA,LC
154623,Cheilinus trilobatus,actinopterygii,Tripletail Wrasse,LC
187436,Coris gaimard,actinopterygii,African clown wrasse,LC
187441,Novaculichthys taeniourus,actinopterygii,Olive-scribbled wrasse,LC
187461,Cirrhilabrus exquisitus,actinopterygii,Exquisite wrasse,DD
187477,Pseudocheilinus hexataenia,actinopterygii,Six-line wrasse,LC
187490,Thalassoma amblycephalum,actinopterygii,Bluntheaded wrasse,LC
187497,Labropsis xanthonota,actinopterygii,Wedge-tailed wrasse,LC
187559,Thalassoma hardwicke,actinopterygii,Six-banded wrasse,LC
187571,Bodianus prognathus,actinopterygii,NA,LC
187673,Halichoeres hortulanus,actinopterygii,Checkerboard wrasse,LC
187674,Oxycheilinus unifasciatus,actinopterygii,Whiteband maori wrasse,LC
187685,Thalassoma lutescens,actinopterygii,Yellow-brown wrasse,LC
187722,Epibulus insidiator,actinopterygii,Sling-jaw wrasse,LC
187733,Thalassoma quinquevittatum,actinopterygii,Five striped surge wrasse,LC
187744,Bodianus loxozonus,actinopterygii,Blackfin Hogfish,LC
187746,Thalassoma purpureum,actinopterygii,Purple wrasse,LC
187786,Halichoeres pallidus,actinopterygii,Pale wrasse,LC
190688,Calotomus carolinus,actinopterygii,Carolines Parrotfish,LC
190694,Scarus globiceps,actinopterygii,Globehead Parrotfish,LC
190713,Scarus spinus,actinopterygii,Greensnout Parrotfish,LC
190728,Chlorurus microrhinos,actinopterygii,Steephead Parrotfish,LC
190736,Scarus psittacus,actinopterygii,Common Parrotfish,LC
190740,Scarus niger,actinopterygii,Dusky Parrotfish,LC
190749,Scarus pyrrostethus,actinopterygii,Blue Banded Parrotfish,LC
63571,Bolbometopon muricatum,actinopterygii,Green Humphead Parrotfish,VU
154960,Scarus oviceps,actinopterygii,Blue Parrotfish,LC
155314,Pseudocheilinus ocellatus,actinopterygii,White-barred Pink Wrasse,LC
187373,Hemigymnus fasciatus,actinopterygii,Barred thicklip wrasse,LC
187381,Thalassoma lunare,actinopterygii,Crescent-Tail Wrasse,LC
187396,Labroides dimidiatus,actinopterygii,Blue-streak cleaner wrasse,LC
187424,Stethojulis bandanensis,actinopterygii,Red-spot rainbowfish,LC
187443,Halichoeres margaritaceus,actinopterygii,Pearl-spotted wrasse,LC
187474,Halichoeres trimaculatus,actinopterygii,Three-spot wrasse,LC
187516,Bodianus axillaris,actinopterygii,Turncoat hogfish,LC
187527,Hologymnosus doliatus,actinopterygii,Narrow-banded wrasse,LC
187536,Gomphosus varius,actinopterygii,Purple club-nosed wrasse,LC
187564,Halichoeres melasmapomus,actinopterygii,Ocellated wrasse,LC
187575,Labroides pectoralis,actinopterygii,Gold barrier reef cleaner,LC
187621,Pseudocheilinus octotaenia,actinopterygii,Eightstripe wrasse,LC
187626,Pseudojuloides cerasinus,actinopterygii,Long blue-lined wrasse,DD
187631,Labrichthys unilineatus,actinopterygii,Tube-mouth wrasse,LC
187649,Cheilinus oxycephalus,actinopterygii,Point-head maori wrasse,LC
187658,Pseudocheilinus evanidus,actinopterygii,Disappearing wrasse,LC
187681,Cymolutes praetextatus,actinopterygii,Knife razorfish,LC
187688,Pseudocoris heteroptera,actinopterygii,Torpedo wrasse,LC
187692,Macropharyngodon meleagris,actinopterygii,Blackspotted wrasse,LC
187699,Halichoeres claudia,actinopterygii,Claudia's wrasse,LC
187705,Iniistius pavo,actinopterygii,Indianfish blue razorfish,LC
187707,Thalassoma trilobatum,actinopterygii,Green-blocked wrasse,LC
187713,Pseudodax moluccanus,actinopterygii,Chisel-tooth wrasse,LC
