iucn_sid,kingdom,phylum,class,order,family,genus,sciname,population,category,subspecies,rank,subpopulation,country_code
132987,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Echinopora,Echinopora gemmacea,NA,LC,NA,NA,NA,UM
132988,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,Acropora longicyathus,NA,LC,NA,NA,NA,UM
132992,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,Acropora humilis,NA,NT,NA,NA,NA,UM
132997,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Montastrea,Montastrea valenciennesi,NA,NT,NA,NA,NA,UM
132998,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,Acropora samoensis,NA,LC,NA,NA,NA,UM
133003,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Leptastrea,Leptastrea bewickensis,NA,NT,NA,NA,NA,UM
133006,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,Acropora palmata,NA,CR,NA,NA,NA,UM
133010,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,Acropora elseyi,NA,LC,NA,NA,NA,UM
133012,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Montastraea,Montastraea franksi,NA,VU,NA,NA,NA,UM
133013,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,Acropora grandis,NA,LC,NA,NA,NA,UM
133015,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Montipora,Montipora millepora,NA,LC,NA,NA,NA,UM
133016,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Porites,Porites vaughani,NA,LC,NA,NA,NA,UM
